Region,city,facility_ID,Facilitylicensingtypearname,Facilityclassificationtypearname,Floorscount,RegularRoomsCount,Regularsuitescount,DeluxeSuitesCount,ParkingsCount
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2594,وحدات سكنية مفروشة,درجة رابعة,2,6,4,4,13
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2595,وحدات سكنية مفروشة,درجة رابعة,3,22,22,6,15
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2596,وحدات سكنية مفروشة,درجة ثانية,3,0,8,6,14
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2597,وحدات سكنية مفروشة,درجة رابعة,3,0,15,4,16
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2598,وحدات سكنية مفروشة,درجة رابعة,2,2,1,1,20
0x2B9EF58D376B99838B5C594123836DEB,0x46C175A8244D70B15C44FE48DD22222B,2599,وحدات سكنية مفروشة,درجة ثالثة,2,10,30,0,1
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2600,وحدات سكنية مفروشة,درجة رابعة,3,0,16,0,20
0x2B9EF58D376B99838B5C594123836DEB,0x15FAD76F8F6FA5BC689A13CC9E839EF7,2602,وحدات سكنية مفروشة,درجة رابعة,3,9,8,0,8
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2603,وحدات سكنية مفروشة,درجة رابعة,6,0,36,0,40
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2604,وحدات سكنية مفروشة,درجة رابعة,2,36,0,0,23
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2605,وحدات سكنية مفروشة,درجة رابعة,3,5,16,4,50
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2606,وحدات سكنية مفروشة,درجة رابعة,3,8,25,0,100
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2607,وحدات سكنية مفروشة,درجة رابعة,3,8,12,4,25
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2608,وحدات سكنية مفروشة,درجة رابعة,3,9,7,1,20
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2609,وحدات سكنية مفروشة,درجة رابعة,4,0,25,1,15
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2610,وحدات سكنية مفروشة,درجة رابعة,4,0,20,13,28
0x2B9EF58D376B99838B5C594123836DEB,0xA2547FC4E8B1ACAF960EA410AC02B9DF,2611,وحدات سكنية مفروشة,درجة رابعة,3,0,17,0,17
0x2B9EF58D376B99838B5C594123836DEB,0x6F4F63B6DBB8DB81510322692323D44F,2612,وحدات سكنية مفروشة,درجة رابعة,3,8,13,5,13
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2613,وحدات سكنية مفروشة,درجة رابعة,2,10,4,12,13
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2614,وحدات سكنية مفروشة,درجة رابعة,4,96,0,0,39
0x2B9EF58D376B99838B5C594123836DEB,0x667C0CE57042E017A3A04D418197E210,2615,وحدات سكنية مفروشة,درجة رابعة,2,10,12,12,60
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2616,وحدات سكنية مفروشة,درجة رابعة,2,0,43,6,49
0x50AF8B3517DD18265275800816D863F9,0x6E90A46C1BA204D5D0934162F4730A2C,2617,وحدات سكنية مفروشة,درجة ثالثة,3,21,13,1,10
0x50AF8B3517DD18265275800816D863F9,0x6E90A46C1BA204D5D0934162F4730A2C,2618,وحدات سكنية مفروشة,درجة رابعة,3,2,12,7,16
0x50AF8B3517DD18265275800816D863F9,0x6E90A46C1BA204D5D0934162F4730A2C,2619,وحدات سكنية مفروشة,درجة رابعة,5,14,35,0,25
0xFF0D21557DC36EEF691F12D93326C1BF,0x68F56387F887D1F23BFFED0EB237D652,2620,فندق,ثلاثة نجوم,4,151,16,0,100
0xFF0D21557DC36EEF691F12D93326C1BF,0x68F56387F887D1F23BFFED0EB237D652,2621,فندق,نجمة واحدة,4,15,4,4,12
0xC6AF9AC6BF1E23A3E62BEEF3A4656DC3,0xE93779C418A38F79AC92483CD63CF3CE,2622,وحدات سكنية مفروشة,درجة رابعة,5,105,0,0,10
0xFF0D21557DC36EEF691F12D93326C1BF,0x68F56387F887D1F23BFFED0EB237D652,2623,وحدات سكنية مفروشة,درجة رابعة,3,0,24,0,23
0x803149F1E368CB2182E737150D71BA0D,0x84176755CDB37ABD0502494DE9D765C6,2624,وحدات سكنية مفروشة,درجة رابعة,4,24,0,4,15
0x803149F1E368CB2182E737150D71BA0D,0x84176755CDB37ABD0502494DE9D765C6,2625,وحدات سكنية مفروشة,درجة رابعة,4,22,10,1,38
0xF49CCC680A29B6B3C19B1F6A05E16157,0x7F510B0C3077BDFD72826F4B73F9BB00,2627,فندق,أربعة نجوم,5,106,16,4,80
0xF49CCC680A29B6B3C19B1F6A05E16157,0x5EF2AC9662D6047B7484E6B02DB06A66,2628,وحدات سكنية مفروشة,درجة ثالثة,3,0,19,17,34
0xF49CCC680A29B6B3C19B1F6A05E16157,0xB47EC74C1A46911FBEBF491AE205FB60,2629,وحدات سكنية مفروشة,درجة ثانية,7,7,58,5,50
0xF49CCC680A29B6B3C19B1F6A05E16157,0x7EB367F07E94595A2495E097C1E8A433,2630,وحدات سكنية مفروشة,درجة رابعة,2,6,2,2,12
0xF49CCC680A29B6B3C19B1F6A05E16157,0x86BF6918BC4776F26A26022D1C4A5C14,2631,وحدات سكنية مفروشة,درجة رابعة,4,40,0,0,27
0xF49CCC680A29B6B3C19B1F6A05E16157,0x7F510B0C3077BDFD72826F4B73F9BB00,2632,وحدات سكنية مفروشة,درجة ثالثة,3,5,15,0,12
0xF49CCC680A29B6B3C19B1F6A05E16157,0x5EF2AC9662D6047B7484E6B02DB06A66,2633,وحدات سكنية مفروشة,درجة ثالثة,4,14,12,1,2
